質問,回答
裕美<U1d07f5d06220ad1e252b571127638cee>: 買えない,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): お問い合わせをいただき、ありがとうございます。
 この度はカードでエラーが発生してしまうとのことで
 ご不便をおかけし、申し訳ありません。
 

 状況を確認いたしますので、
 登録氏名
 登録電話番号
 をお教えいただけますでしょうか？"
すず<Ud287003a171560e803b94f90470a1119>: 正しい使い方,
えみ<Udc9c52a9ce120fc8143260a762e5551c>: 注文について,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): お問い合わせをいただき、ありがとうございます☺️
 

 状況を確認いたしますので、
 登録氏名
 登録電話番号
 注文番号（わかれば）
 をお教えいただけますでしょうか？"
弘美<Ue61a15566502636e5daf180bce5cabe7>: 注文について,
A<Ubf559d486c69607964f09c1eeb6f6bad>: 注文について,
Nakasone Airi★<U2d3766c8989424b2edd665900c01cb30>: 注文について,
菜々瀬<U09d5a77fa5e71b1d929a3229dfd375ab>: 注文について,
べっさん<Ub9f3dc049a10c74a704af0b34bdea4af>: 注文について,
みゆまま<U94a0b179cc70433fa799ed15c1bcf4ec>: 注文について,
松岡<U310b76e980a736ad38a217fb50cc3c44>: 正しい使い方,
金山家次女<Ue158ef936f786389ff9c820f5f8a92de>: 注文について,
Nami<U92a6a1e61f7e31b2143a6a96624cf0c6>: 注文について,
Mao<U767eb906081c376d5de51bc870a6288a>: 注文について,
かおり<U83922462075624df3b83c34f82b031a6>: 注文について,
戸田茜<Uff5854d9955cc8e517eabb90a8ccb53f>: 注文について,
まゆみん<Uf9e672ba12bf3e144d6d2d21c8cfae09>: 注文について,
雅実<Ud71ab9e47094c26b36f9722cefd24d72>: 正しい使い方,
べっさん<Ub9f3dc049a10c74a704af0b34bdea4af>: 正しい使い方,
陶器ゆりか<U3d45e5bb5aa70807541225e13c894f51>: 領収書,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): お問合せいただきありがとうございます。
 領収書は、マイページの「購入履歴」より発行できます。
 

 ＜発行手順＞
 1.マイページにログイン
 2.「購入履歴」から、該当注文番号の「注文詳細を見る」をクリック
 3.表示された購入履歴詳細の下部にある【領収書発行】をクリック
 4.画面の案内に沿って、【OK】をクリック
 5.ご登録のメールアドレス宛に領収書のPDFファイルが届きます
 

 ▼購入履歴
 https://shop.kaminidoramawo.jp/shop/customer/orders
 なお、領収書は、商品の発送が完了したのちに発行が可能となります。
 購入履歴詳細画面のお支払い情報にある対応状況が「発送完了」となっていることをお確かめのうえ、お手続きくださいませ。
 

 ※領収書には、ご注文時の会員情報の宛名が掲載されます。"
"裕美<U1d07f5d06220ad1e252b571127638cee>: 男澤裕美
 090-4301-1031
 です","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): ご返信くださいましてありがとうございます。
 会員登録をしてくださったこと確認させていただきました。
 

 調査のため、以下の点について教えていただけますでしょうか？
 

 ・ご選択されたお支払い方法
 Sbpsクレジットカード一括／Amazonpay／PayPay
 

 ・カード登録を行われた日時
 

 ・エラーが発生したときのエラーメッセージ
 

 ・ご購入をお試しいただいた商品と金額
 

 お手数をおかけいたしますが、ご確認とご返信のほどなにとぞよろしくお願いいたします。"
"えみ<Udc9c52a9ce120fc8143260a762e5551c>: 氏名:芦田絵美
 電話番号:08015205741
 注文番号：3d4cafa1ca","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): ご返信くださいましてありがとうございます。
 ご登録・ご注文状況を確認させていただきました。
 

 メールも拝見いたしました。
 こちらのLINEにてあわせてご返信をさせていただきます。
 

 2025/06/03にご注文いただいた 「【定期】【セット】つるりんちょ。シャンプー＆トリートメントSARARITO（ボトル）」についてご質問ですね。
 

 定期便1回目の発送は、ご注文から4日以内に行わせていただいております。
 なお、できるだけ早く発送できるよう準備を進めております。
 

 発送が完了いたしましたらメールにてご連絡をさせていただきます。
 お届けまで今しばらくお待ちくださいませ。
 

 定期便1回目のご注文詳細
 ご注文番号：3d4cafa1ca
 「最近の購入履歴」をよりご確認いただけます
 https://shop.kaminidoramawo.jp/shop/customer
 

 ご不明な点がおありの際は、恐れ入りますが、再度お尋ねくださいませ。
 どうぞよろしくお願いいたします。"
宮下範枝<U1a37bbe40653e2b0c1a0d4fb3248ca24>: 注文について,
さえき<U1423e3377c93d44556a03f85c8d0c669>: 注文について,
chiho<Uba2589ed34ef25b2342810a435834164>: 注文について,
♡toshiko♡<U89f024d7fc383e778ed9a71139d20b1b>: 注文について,
nana ⑅⃛<Ua64d09e29d7f0ed8a754446c9ea996bc>: 定期購入の内容を変更したいです！,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): 商品内容の変更をご希望でしょうか？
 

 定期便の商品は、以下の手順で変更が可能です。
 ※先にご希望の商品を追加し、その後ご不要な商品を削除する順番でお手続きいただけます。
  
 なお、変更期日が過ぎて確定しているご注文は予定通り発送させていただきます。
 確定しているご注文の詳細は、「購入履歴」よりご確認くださいませ。
 ※購入履歴
 https://shop.kaminidoramawo.jp/shop/customer/orders
  
  
 ▼定期便の商品を変更する方法
  
 １．マイページにログイン
 https://shop.kaminidoramawo.jp/shop/customer
  
 ２．「ご利用中の定期購入（次回お届け予定）」の詳細を見るをクリック
  
 ３．商品追加
 注文番号が記載されたページの下部にある「追加可能商品」から、ご希望の商品を追加してください。
 ※「次回のみお届け」は「いいえ」（毎回お届けする）を選択してください。
  
 ４．不要な商品の削除
 不要な商品の「変更する」ボタンをクリックし、保存ボタンの直下にある「削除する」をクリックしてください。
  
 以上です。
  
 念のため、ご希望の手続きが完了しているか、画面を戻って定期便のお届け内容をご確認ください。
 

 また、ご都合にあわせて配送予定日を変更してください。
 

 ▼配送予定日の変更方法
  
 １．「ご利用中の定期購入（次回お届け予定）」の詳細を見るをクリック
  
 ２．注文番号が記載されたページ内にある「配送情報」の「変更する」をクリック
  
 ３．次回配送予定日の変更
 画面の中ほどにある「次回配送予定日の変更」から希望日を選択して保存してください。
  
 以上です。
  
 念のため、ご希望の手続きが完了しているか、画面を戻って定期便のお届け内容をご確認ください。
  
 ご不明な点がおありの際は、恐れ入りますが、再度お尋ねください。
 どうぞよろしくお願いいたします。"
陶器ゆりか<U3d45e5bb5aa70807541225e13c894f51>: ありがとうございました！,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): またなにかございましたらお尋ねください。
 どうぞよろしくお願いいたします。"
わたなべ まりか<Uf292acd0a940e6e33e5a171816114ab2>: 注文について,
nana ⑅⃛<Ua64d09e29d7f0ed8a754446c9ea996bc>: ありがとうございます！,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): またなにかございましたら、いつでもお尋ねください。
 どうぞよろしくお願いいたします。"
裕美<U1d07f5d06220ad1e252b571127638cee>: 注文について,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): エラーメッセージをご共有いただき、誠にありがとうございます。
 いただいたスクリーンショットの時間をもとに、クレジットカード決済のエラー理由を確認いたしました。
 

 今回のエラーは「与信エラー」によるものでございました。
 なお、与信エラーの具体的な理由につきましては、個人情報保護の観点から弊社側では確認できない仕組みとなっております。
 お手数をおかけいたしますが、別のクレジットカードをご利用いただくか、ご利用のカード会社様へ直接お問い合わせくださいますようお願い申し上げます。
 

 また、GMO後払いのご利用に際してもエラーメッセージをご共有いただき、ありがとうございます。
 こちらも同様に、エラーの詳細については弊社に開示されない仕様となっており、原因の特定ができかねる状況でございます。
 

 一般的に、GMO後払いで審査が通らない理由としては、以下のようなケースがございます。
 ・過去にお支払いが確認できていないお取引（未払い）がある場合
 ・ご購入時に入力いただいたご住所や電話番号に誤りや不備がある場合
 

 お心当たりがございましたら、今一度ご確認いただけますと幸いです。
 

 ご不便をおかけし誠に恐縮ではございますが、何卒よろしくお願い申し上げます。"
みゆ<U771b21e62cb4628aee1c49ad94e0605d>: 注文について,
yumiko<Ub94293ca98d9508ed4912e96a4aa1e29>: 注文について,
(*^^*)<Uf216f2c338d55dc99f5581b0bd40e1a1>: 注文について,
rie<Uae0cc30f88425c6a20b51285c82ca936>: 質問,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): お問い合わせをいただきありがとうございます。
 

 ご質問をいただきました件について
 もしご使用をご検討中であれば、「つるりんちょ。シャンプー」の泡パック時にご使用いただくのがおすすめです。
 

 「つるりんちょ。」は、シャンプーで泡パックをして時間を置くことで補修成分を浸透させ、トリートメントは塗布後すぐに洗い流す設計となっております。
 そのため、トリートメント後にご質問のアイテムを使用して時間を置いてしまうと、髪質によってはベタつきや重さを感じる可能性がございます。
 

 より滑らかな質感を得たい場合は、シャンプーによる泡パック（3分程度）時の併用をおすすめいたします。
 

 どうぞよろしくお願いいたします。"
あゆみ<U68858aa30178e0e7f82c61bb8f33a1f6>: 注文について,
土清水あっこ<U17362a2a81dd1558c74aaa0e34e44a78>: 注文について,
やれば出来る子やらない子<Ue974a44e33e868ffe7829f46ff8f8d4f>: 正しい使い方,
小豆 彩巴<U356158be9a6c6b6b63f4570b172929c1>: 注文について,
こずえ<U75ca28aeb723dbaa9e96e03fa81a6c04>: 注文について,
さえき<U1423e3377c93d44556a03f85c8d0c669>: 注文について,
wakana<Ua70014aa8a86c41ff7d7b3684b281182>: 注文について,
Y.ishikawa<U95837edc3d321c42be5fee1cf4354649>: 注文について,
裕美<U1d07f5d06220ad1e252b571127638cee>: 注文について,
tomoe<Uebaefeecb9066e200784a06f67f8e6d8>: 注文について,
"青木由紀子<Ud6ceb232b9bfae763170ecefea2b7e95>: 問い合わせです
 定期購入次回分にブースターを
 追加したいのですが
 追加可能商品にブースターがありません
 どうすればいいですか？","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): このたびは、ご連絡くださいましてありがとうございます。
 

 【定期】つるりんちょ。ブースター300mlが定期便に追加いただけるようになりました。
 ご確認とお手続きのほど、何卒よろしくお願いいたします。"
aki-noz<U92c4a46281cb61c90d485507c5e91705>: 注文について,
矢田 亜希子<Ufb1cf277e64523a1325fc0324e5d2c81>: 正しい使い方,
脇田彩加<U36aba7d517eb5c4870a6ba8386461f6a>: 注文について,
"森祐衣: 注文番号：【425398-20250605-0883745493】
 カテゴリー：返品・交換・キャンセルについて
 内容：キャンセルの理由：クーポンを使い忘れたので決算しなおしたいです。","【公式】髪にドラマを。楽天市場店: このたびはお問い合わせをいただき、誠にありがとうございます。
 「髪にドラマを。」お客様サポート係でございます。
 

 ご注文番号【425398-20250605-0883745493】につきまして
 ご注文画面でチェックをしていただきました通り、あいにくご注文完了後のキャンセルを承ることが出来かねます。
 

 ご希望に添えず、大変申し訳ございません。
 ご注文は予定通り発送の手続きを進めてまいります。
 

 発送完了後には、メールにて改めてご案内いたしますので、お受け取りのほどよろしくお願い申し上げます。
 

 なお、商品がご不要な場合には、未開封の商品に限り返品を承っております。
 お受け取り後、1週間以内に下記住所まで、送料ご負担のうえご返送をお願いいたします。
  
 ▼返送先
 〒545-0053
 大阪府大阪市阿倍野区松崎町4-3-5
 髪にドラマを。返品係 川畑宛
 06-4703-3600
  
 商品の到着を確認後、ご注文のキャンセル・返金手続きを行わせていただきます。
 

 

 ■クーポンのご利用について
 今回のご注文とは別に、新たにご注文をいただく際に、クーポンをご利用くださいませ。
 

 その他ご不明な点がございましたら、お気軽にお問い合わせください。
 今後とも「髪にドラマを。」をよろしくお願い申し上げます。"
𝓜 𝓞 𝓜 𝓞 ᙏ̤̫͚♡⃜<Uf8585ee765518f23f7bbd3fe00d86cb3>: 正しい使い方,
さあや<Ua1b24d736652933effb5eecd0aab4897>: 注文について,
maki<U5bf931b7a40a3ab2e2b04619bb36c298>: 問い合わせ,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): お問い合わせをいただき、誠にありがとうございます。
 

 定期便の解約は、マイページよりお手続きいただけます。
 手順は以下でご案内させていただきます。
  
 なお、変更期日が過ぎて確定しているご注文は予定通り発送させていただきます。
 確定しているご注文の詳細は、「購入履歴」よりご確認いただけます。
 ※購入履歴https://shop.kaminidoramawo.jp/shop/customer/orders
  
 ご確認とお手続きのほどよろしくお願いいたします。
  
 ▼定期便の解約手順
  
 １）マイページにログインしてください
 https://shop.kaminidoramawo.jp/shop/customer
  
 ２）ご利用中の定期購入（次回お届け予定）の「詳細を見る」をクリックしてください
  
 ３）画面下までスクロールして、「定期便を停止」のボタンより解約していただけます
  
 該当定期便のステータスが「停止」となっている場合は解約完了。
 次回以降、お届けしない手続きが完了となります。
 以上です。"
さえ<U767d9bfb6f51af66c45743f5596f4a00>: 注文について,
西山英里<Ua61e6e8ecaa6f7bf16381e52668d1690>: 注文について,
MASAMI FUKUNAGA<Ua71a5d21307ff73ae3a40bd7acc8f847>: 注文について,
ひろ<U905fd6ea4be089e0c6546231a5d46397>: 注文について,
みさき<U832b1311fe45311a2c567fa3ef9f1bb7>: 注文について,
イヅナ<Ud42b34585dd158a94a204ae850fa6f63>: 注文について,
めば<Uf2c62b3480561559be593261a8442704>: 注文について,
ひろ<U56fc60b974041c9049d53fea6c542f23>: 注文について,
"HIROKO.F<U64cd01287cf63ce4f16e53c323d18c86>: ご注文番号：6d8acbe8f8
 

 先程注文商品を間違えてしまいさらとりではない通常のトリートメントに変更お願い致します","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): お問い合わせをいただき、誠にありがとうございます。
  
 ご依頼の注文について、キャンセルを承りました。
 ご希望内容で改めてご注文をいただけますようお願いいたします。
 

 なお、今回はキャンセル手続きが間に合いましたが、ご注文画面でチェックをしていただきました通り、ご注文完了後のキャンセル・変更は承っておりません。
 

 お間違えのないようにご確認のうえ、ご注文いただけますようなにとぞよろしくお願い申し上げます。"
masahiromix<U394e01389a52516eeb83c765aef70a2c>: 注文について,
momo<U91b774eef91bf74de4f18f7ff802dd1f>: 注文について,
ひろ<U56fc60b974041c9049d53fea6c542f23>: 注文について,
HIROKO.F<U64cd01287cf63ce4f16e53c323d18c86>: 注文について,
いとうともみ<U85aacb2fc9fd50845b6a90564a9f9561>: 注文について,
"吉井静香: 注文番号：【425398-20250605-0082045854】
 カテゴリー：返品・交換・キャンセルについて
 内容：キャンセルの理由：ポイントを使用したかったため。","【公式】髪にドラマを。楽天市場店: このたびはお問い合わせをいただき、誠にありがとうございます。
 「髪にドラマを。」お客様サポート係でございます。
 

 注文番号：【425398-20250605-0082045854】につきまして
 ご注文画面でチェックをしていただきました通り、あいにくご注文完了後のキャンセルを承ることが出来かねます。
 

 ご希望に添えず、大変申し訳ございません。
 ご注文は予定通り発送の手続きを進めてまいります。
 

 発送完了後には、メールにて改めてご案内いたしますので、お受け取りのほどよろしくお願い申し上げます。
 

 なお、商品がご不要な場合には、未開封の商品に限り返品を承っております。
 お受け取り後、1週間以内に下記住所まで、送料ご負担のうえご返送をお願いいたします。
  
 ▼返送先
 〒545-0053
 大阪府大阪市阿倍野区松崎町4-3-5
 髪にドラマを。返品係 川畑宛
 06-4703-3600
  
 商品の到着を確認後、ご注文のキャンセル・返金手続きを行わせていただきます。
 

 

 ■クーポンのご利用について
 今回のご注文とは別に、新たにご注文をいただく際に、ポイントをご利用くださいませ。
 

 その他ご不明な点がございましたら、お気軽にお問い合わせください。
 今後とも「髪にドラマを。」をよろしくお願い申し上げます。"
"山口やすよ: 注文番号：【425398-20250421-0473636593】
 カテゴリー：返品・交換・キャンセルについて
 内容：返金の理由：
 商品が届いてないので返金対応お願いします。、
 

 

 

 ※不具合がある商品の写真を添付してください","【公式】髪にドラマを。楽天市場店: この度はお問い合わせをいただき、誠にありがとうございます。
 「髪にドラマを。」お客様サポート係でございます。
 

 4月22日に発送させていただきました商品につきまして、お届けが確認できていないとのご連絡をいただき、長らくお待たせし誠に申し訳ございません。
 

 輸送状況を日本郵便の追跡サイトより確認いたしましたところ、2025年4月23日 16:24頃にお届け完了の履歴がございました。
 

 また、配達担当者より以下の連絡がございました。
 

 ＝＝＝＝＝
 2025/04/23 16:24 お届け先にお届け済み
 ※指定場所：宅配ボックス
 ポストに「指定場所配達のお知らせ（ボックス番号・暗証番号記載）」を投函済みとのこと
 ＝＝＝＝＝
 

 大変恐れ入りますが、宅配ボックスおよびポストの中をご確認いただけますでしょうか。
 

 万が一、見当たらない場合や不明点がございましたら、改めてご連絡くださいませ。
 何卒よろしくお願い申し上げます。
 

  
 [受注番号]425398-20250421-0473636593
 

 [送付先] 山口 やすよ 様
  〒190-0023 東京都 立川市 柴崎町2-13-18プレジール201
  (TEL) 080-2059-0539
 

 [発送日] 2025年04月22日
 [お荷物伝票番号] 369583202365
 [配送会社] 日本郵便
 

 ※お荷物追跡問い合わせサービスURL
 https://link.rakuten.co.jp/1/084/990/"
☆★Yuka ito★☆<Uffbfba7828e5ec63c574360f9be0350b>: 注文について,
iyo<U5b36b1355e8eb75a6c657ec639c6cedc>: 正しい使い方,
♡ゆう♡<U1f13bc37b2852781a31b5b9ce46bcb5f>: 注文について,
徳元 早紀<U77713b0e04fbc115048ce1f0a9704895>: 注文について,
イヅナ<Ud42b34585dd158a94a204ae850fa6f63>: 正しい使い方,
まなみ<Uacb086f42b68950f159ed75df89f7bd8>: 注文について,
遠藤 日菜子<Uee21d54ac6c2aa0d88d8cd09aba66cca>: 指定の宛先に商品を発送しました。,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): ご連絡くださいましてありがとうございます。
 商品の到着を確認後、ご注文のキャンセル・返金手続きを行わせていただきます。
 

 手続き完了後にまたご連絡をさせていただきます。
 どうぞよろしくお願いいたします。"
aiko<Ue9fb0da0d92fb46008c444882d534dd6>: 注文について,
すさき<U5b08990cb906a34fdad79e8d6d1bca4b>: 注文について,
れん<U79c720cebe24bdb870bf8ae46187895f>: 正しい使い方,
"(⁎ ✪͡ ◡͐✪͡ ⁎)ﾉ""""<U8df8a767f7fbc601c8b0f3cc90c62e98>: 正しい使い方",
森 裕美<U1adbc4d20c7eefae31e9869af37edbd6>: 正しい使い方,
saki<U80f922ece60f4f4662fe99722b7ce88c>: 注文について,
Maika<U6fe0c3d382f6761fdb4b542280d82c1e>: お問い合わせ,
アキナ<Ue583d969b43e35671350e4db1f1478dd>: 注文について,
noochan<U5cf3f3ba5bd67da58f41bdf3bd0e3ebe>: 正しい使い方,
"青木由紀子<Ud6ceb232b9bfae763170ecefea2b7e95>: 返信ありがとうございます
 追加出来ました！
 ありがとうございます🙇‍♀️","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): お手続きいただきまして、ありがとうございます。
 またなにかございましたらいつでもご連絡くださいませ。
 これからもどうぞよろしくお願いいたします🙇‍♀️"
miyu<U86d8af924f3cfcf3b6c29e480a70a26a>: 注文について,
はまりさ<U133debdac352b699034dc208a1d28d57>: 正しい使い方,
mari kotani<U65b5b52844f68299b78c321254393cf6>: 注文について,
ちい<Ua9a54dbb5e0c9ca0917517104625bbb3>: 正しい使い方,
橘栄子<Uf2a440cc09e8bcfeaac83a72bbbe658f>: 注文について,
kahochin(川上佳穂）<Ueb0ebb509d96e9df438227a8e4e222c5>: 注文について,
早川 依里<U3188e765bf71e8c1a9bce4eefa044633>: 注文について,
なつき<U50c014ef6e6759fbdd76fc0b83ba76e0>: 注文について,
あすか<U5ab3987ba3b879adbfc0156163c9fc78>: 正しい使い方,
りな<U7f311de285baf4046cda7aaf23f0b0ba>: 注文について,
"田中みか: 注文番号：【425398-20250605-0893045850】
 カテゴリー：返品・交換・キャンセルについて
 内容：キャンセルの理由：同じ商品を重複注文していまったのでキャンセルしていただきたく存じます。","【公式】髪にドラマを。楽天市場店: お問い合わせをいただき、誠にありがとうございます。
  
 ご注文について確認いたしましたところ、連絡をいただいた時点で、すでに出荷作業がはじまっておりました。
 

 ご注文画面でチェックをしていただきました通り、あいにくご注文完了後のキャンセルを承ることが出来かねます。
 ご希望に添えず申し訳ございません。
  
 商品は予定通り、発送の手続きを進めさせていただきます。
 発送が完了いたしましたらメールにてご連絡をさせていただきます。
 お受け取りのほど、よろしくお願いいたします。
 

 ご注文番号：【425398-20250605-0893045850】について、ご不要の場合には、未開封商品の返品を承ります。
 商品お受け取り後に、送料をご負担のうえ、1週間以内に下記までご返送くださいませ。
  
 ▼返送先
 〒545-0053
 大阪府大阪市阿倍野区松崎町4-3-5
 髪にドラマを。返品係 川畑宛
 06-4703-3600
 

 商品の到着を確認後、ご注文のキャンセル・返金手続きを行わせていただきます。
 どうぞよろしくお願いいたします。"
優美ｺ<U91330285731589819234c173a188b67e>: 注文について,
はるか<U7fb546c0b014c98c68cafb0c9e90d24d>: 注文について,
しの<Ua8b85a0517ed072f8ecbf43db8215218>: 注文について,
ももね<Uc68274dba323e0f8179d7417e28c88e6>: 正しい使い方,
りな<U7f311de285baf4046cda7aaf23f0b0ba>: 正しい使い方,
さわだかほ<Ue63d5deecde97f7fb05d1663eac048f4>: 正しい使い方,
リツコ<U9cbbb86289a05883d3acb56e8c5202e2>: 注文について,
松浦 美幸<U1bb9efceb0889982a2ab39f1ccae69a5>: 注文について,
菅野 愛梨<U0d92d24eb7277a2986c275f2280a7126>: 正しい使い方,
せり<U7efa867cf959866d592861df2f0ae2c8>: 注文について,
"山田理英子: 詰め替えシャンプーで、2種類の違いを教えてほしい。
 私の髪質は、もともと癖毛で老化でうねりが増えて、ぱさついて、困っています。
 どちらのシャンプーが合うのでしょうか？","【公式】髪にドラマを。楽天市場店: お問い合わせをいただき、誠にありがとうございます。
 

 シャンプーは、1種類のご用意でございます。
 

 9,400円の商品が、つるりんちょ。シャンプー1000mlです。
 https://item.rakuten.co.jp/kaminidoramawo/kdr012/?variantId=kdr012
 

 

 10,290円の商品は、つるりんちょ。トリートメント1000gです。
 https://item.rakuten.co.jp/kaminidoramawo/kdr022/?variantId=kdr022
 

 トリートメントは2種類ございます。
 違いは、仕上がりの質感です。
 

 しっとりとした質感がお好みの場合は
 通常タイプのトリートメントとなります。
 https://item.rakuten.co.jp/kaminidoramawo/kdr022/?variantId=kdr022
 

 軽い質感がお好みの場合は
 「SARARITO」と記載のあるトリートメントSARARITOをお選びくださいませ。
 https://item.rakuten.co.jp/kaminidoramawo/kdr032/"
早希<U64b68c1c786ef9892548fcab178d50e2>: 注文について,
"由衣子<U4ff8a8f69db99578cbcb4b1018f3cfba>: こちらの公式サイトからの購入でポイント等はたまらないのでしょうか？
 楽天の方にも出品されてると思いますが、ポイント還元率等考えたら定期で購入しても楽天の方で購入した方が安くなるのでお問い合わせさせていただきました？","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): お問い合わせをいただき、誠にありがとうございます。
 

 現在、公式オンラインショップではポイントの付与制度は導入しておりません。
 しかしながら、今後のサービス向上の一環として、ポイント制度の導入についても前向きに検討してまいります。
 貴重なご意見をお寄せいただき、心より御礼申し上げます。
 

 なお、「髪にドラマを。」は楽天市場にも【公式ショップ】を展開しております。
 ご都合にあわせて、公式オンラインショップまたは楽天市場店をご利用いただけましたら幸いです。
 

 ▼【公式】髪にドラマを。楽天市場店
 https://www.rakuten.ne.jp/gold/kaminidoramawo/
 

 今後ともどうぞよろしくお願い申し上げます。"
まい<U00aab125ffe1ff9cdf8233e9977b7c2d>: 注文について,
NY<U2e9f4233cf847580d030c713876d21e2>: 注文について,
ちあき<U6610be1d4df036142437a277da9f41c4>: 商品について問い合わせさせていただいても良いでしょうか？,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): お問い合わせくださいまして、ありがとうございます。
 お伺いさせていただきます。
 ご用件をお聞かせくださいませ。"
ミ<U2ad400d059639115415952a621122929>: ペイペイ払いで決済したのですが、注文確定メールが届きません。,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): お問い合わせをいただきありがとうございます。
 

 ご心配をおかけしております。
  
 ご注文状況をお調べいたします。
 恐れ入りますが、ご登録の以下の情報をお教えくださいませ。
  
 ・登録氏名
 ・登録電話番号
 ・登録メールアドレス"
kana<U54c35c330c5caa3958ba579547a2f715>: 正しい使い方,
"👎<U83ca5e28a1456ef4f9bbb542326b8e3b>: 質問なんですが
 ヤフーショッピングで売られている
 いるかのせなかミルクって本物ですか？","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): この度は、お問い合わせをいただきありがとうございます。
 髪にドラマを。お客様サポート係です。
 

 現在、弊社ではYahoo!ショッピングには公式出店しておらず、正規取扱店もございません。
 

 そのため、Yahoo!ショッピング上で販売されている「いるかのせなか。CMCミルク」については、弊社で品質や保管状況を保証できる製品ではない可能性がございます。
 正規品をご希望の場合は、下記の公式オンラインショップまたは正規取扱店よりご購入いただきますようお願いいたします。"
kana<U54c35c330c5caa3958ba579547a2f715>: 注文について,
kana<U54c35c330c5caa3958ba579547a2f715>: 注文について,
iyo<U5b36b1355e8eb75a6c657ec639c6cedc>: 使い方を見る,
👎<U83ca5e28a1456ef4f9bbb542326b8e3b>: 注文について,
"Satsuki.O<U6ded84117d5ac8b574f4121fccb313bc>: 取り扱い店について、
 お伺いしたいです。
 

 ホームケア商品はサロンでしか買えないのでしょうか。","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): お問い合わせをいただき、誠にありがとうございます。
 

 ホームケア商品は、取り扱いサロン様のほか、公式のオンラインショップよりお買い求めいただけます。
 ぜひ、ご検討くださいませ。
 

 ◎ 髪にドラマを。公式オンラインショップ
 https://shop.kaminidoramawo.jp/
  
 ◎ 楽天市場
 https://www.rakuten.ne.jp/gold/kaminidoramawo/
  
 ◎ Qoo10
 https://www.qoo10.jp/shop/kaminidoramawo
  
 ◎ Amazon
 https://www.amazon.co.jp/stores/%E9%AB%AA%E3%81%AB%E3%83%89%E3%83%A9%E3%83%9E%E3%82%92%E3%80%82/page/B6DFDBC6-8B87-4CF7-97C0-18213BB22D94?ref_=ast_bln"
はるか<U7fb546c0b014c98c68cafb0c9e90d24d>: 注文について,
"ai<Ud82a529dbe432ef586e32bab55aa4335>: 定期便を本体から詰め替えに変更したのですが仮売上決済エラーのためキャンセルとなってしまいました。
 どうすればよろしいでしょうか？
 クレジットカード情報は本体を定期便にしていた時と変わっていません。","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): 注文についてお問い合わせをいただきありがとうございます。
  
 ご注文状況をお調べいたします。
 恐れ入りますが、ご登録の以下の情報をお教えくださいませ。
  
 ・登録氏名
 ・登録電話番号
 ・登録メールアドレス"
なみえ<U87f05a6e4e56e2c8b25bb54c6e509c5f>: 注文について,
ˢʰⁱᶻᵘᵏᵃ<U5a6869dfbab9664dbcd8109b011e427b>: 注文について,
"ai<Ud82a529dbe432ef586e32bab55aa4335>: 本多 愛
 08084756128
 sorai281@docomo.ne.jp","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): ご返信くださいましてありがとうございます。
 ご登録・ご注文を確認させていただきました。
 

 あいにく、決済エラーが発生した理由について、セキュリティ上の理由や、カード会社側での詳細な確認が必要となりますゆえ、弊社側で詳細な情報が確認できかねます。
 ご利用のカード会社様へ直接お問い合わせいただけますようお願い申し上げます。
 

 なお、ご登録のカードがお使いいただける状態でございましたら、下記の方法でお届け日を調整してお受け取りくださいませ。
 

 ▼お届け日の変更・スキップ・配送サイクルの変更方法
  
 １）マイページにログインしてください
 https://shop.kaminidoramawo.jp/shop/customer
  
 ２）「ご利用中の定期購入」の詳細を見るをクリックしてください
  
 ３）画面を下にスクロールすると「配送情報」がありますので、「変更する」をクリックしてください
  
 ４）画面の中ほどに「次回配送予定日の変更」がありますので、ここから希望日を選択して保存してください
 ※項目にある日付からお選びください
  
 ５）変更後、画面上部に赤文字で「保存しました」と表示がでます。
 

 念のため、１の画面に戻って、ご希望の内容に反映されたかどうかご確認くださいませ。
 

 ご不明な点がおありの際は、恐れ入りますが、再度お尋ねください。
 どうぞよろしくお願いいたします。"
